Status,Collection,Accession,Preservation_Log,Full_Risk,Initial_Manifest,Bag
backlogged,rbrl186,2021-38,FALSE,TRUE,FALSE,TRUE
backlogged,RBRL_190_SC,2014_68_ER,FALSE,FALSE,FALSE,FALSE
closed,rbrl071,2019-10-er,FALSE,FALSE,FALSE,TRUE
closed,rbrl246jhi,2021-05-er,FALSE,FALSE,FALSE,TRUE
closed,rbrl246jhi,2020-03-er,FALSE,FALSE,FALSE,TRUE
closed,rbrl246jhi,2019-49-er,FALSE,TRUE,FALSE,TRUE
closed,rbrl459,2018-48-er,FALSE,FALSE,FALSE,TRUE
closed,rbrl556,2023-18-er,TRUE,FALSE,TRUE,FALSE
