Collection,Accession,Preservation_Log,Full_Risk,Bag
rbrl071,2019-10-er,FALSE,FALSE,TRUE
rbrl186,2021-38,FALSE,TRUE,TRUE
rbrl246jhi,2021-05-er,FALSE,FALSE,TRUE
rbrl246jhi,2020-03-er,FALSE,FALSE,TRUE
rbrl246jhi,2019-49-er,FALSE,TRUE,TRUE
rbrl459,rbrl459,FALSE,FALSE,TRUE
rbrl556,2023-18-er,TRUE,FALSE,FALSE
RBRL_190_SC,2014_68_ER,FALSE,FALSE,FALSE
